iter	Passed	Remaining
0	58	58058
1	58	29185
2	58	19560
3	59	14739
4	59	11847
5	59	9919
6	60	8540
7	60	7523
8	61	6718
9	61	6073
10	61	5546
11	62	5114
12	62	4775
13	63	4456
14	63	4177
15	63	3933
16	64	3718
17	64	3526
18	64	3354
19	65	3199
20	65	3061
21	66	2934
22	66	2819
23	66	2712
24	67	2614
25	67	2527
26	67	2443
27	68	2365
28	68	2293
29	68	2224
30	69	2161
31	69	2101
32	69	2046
33	70	1992
34	70	1944
35	70	1896
36	71	1851
37	71	1809
38	71	1769
39	72	1732
40	72	1696
41	72	1661
42	73	1627
43	73	1596
44	73	1566
45	74	1537
46	74	1509
47	74	1483
48	75	1457
49	75	1433
50	75	1409
51	76	1385
52	76	1363
53	76	1341
54	76	1322
55	77	1302
56	77	1284
57	77	1266
58	78	1249
59	78	1231
60	78	1214
61	79	1197
62	79	1181
63	79	1166
64	80	1151
65	80	1136
66	80	1122
67	80	1109
68	81	1096
69	81	1083
70	81	1070
71	82	1058
72	82	1047
73	82	1036
74	83	1024
75	83	1014
76	83	1003
77	83	992
78	84	982
79	84	972
80	84	963
81	85	953
82	85	944
83	85	935
84	86	927
85	86	920
86	87	918
87	87	910
88	88	902
89	88	894
90	88	886
91	89	879
92	89	871
93	89	863
94	89	856
95	90	850
96	90	843
97	90	837
98	91	830
99	91	823
100	91	817
101	92	811
102	92	804
103	92	798
104	92	792
105	93	785
106	93	780
107	93	774
108	94	769
109	94	763
110	94	757
111	94	752
112	95	746
113	95	741
114	95	736
115	96	731
116	96	725
117	96	720
118	96	715
119	97	711
120	97	707
121	97	702
122	97	697
123	98	693
124	98	688
125	98	684
126	98	679
127	99	675
128	99	671
129	99	667
130	100	663
131	100	660
132	100	655
133	100	651
134	101	648
135	101	644
136	101	640
137	101	636
138	102	632
139	102	628
140	102	625
141	102	622
142	103	620
143	103	617
144	104	614
145	104	610
146	104	607
147	104	604
148	105	600
149	105	597
150	105	594
151	105	591
152	106	588
153	106	585
154	106	582
155	107	579
156	107	576
157	107	573
158	107	570
159	108	567
160	108	565
161	108	562
162	108	559
163	109	556
164	109	554
165	109	551
166	109	548
167	110	546
168	110	543
169	110	540
170	110	537
171	111	535
172	111	532
173	111	530
174	112	528
175	112	525
176	112	523
177	112	521
178	113	518
179	113	516
180	113	514
181	113	511
182	114	509
183	114	507
184	114	505
185	115	503
186	115	501
187	115	499
188	115	497
189	116	494
190	116	492
191	116	490
192	116	488
193	117	486
194	117	484
195	117	482
196	117	480
197	118	478
198	118	476
199	118	475
200	119	474
201	119	472
202	119	470
203	120	468
204	120	467
205	120	465
206	120	463
207	121	461
208	121	460
209	121	458
210	122	456
211	122	454
212	122	453
213	122	451
214	123	449
215	123	447
216	123	446
217	124	444
218	124	443
219	124	441
220	124	440
221	125	438
222	125	436
223	125	435
224	126	434
225	126	432
226	126	431
227	126	429
228	127	428
229	127	426
230	127	425
231	128	423
232	128	422
233	128	421
234	128	419
235	129	418
236	129	416
237	129	415
238	129	413
239	130	412
240	130	410
241	130	409
242	130	407
243	131	406
244	131	405
245	131	403
246	132	402
247	132	401
248	132	399
249	132	398
250	133	397
251	133	395
252	133	394
253	133	393
254	134	392
255	134	391
256	134	390
257	135	388
258	135	387
259	135	386
260	136	385
261	136	384
262	136	382
263	136	381
264	137	380
265	137	379
266	137	377
267	137	376
268	138	375
269	138	374
270	138	373
271	139	372
272	139	370
273	139	370
274	140	369
275	140	368
276	140	367
277	140	365
278	141	364
279	141	363
280	141	362
281	141	361
282	142	360
283	142	359
284	142	358
285	143	357
286	143	356
287	143	354
288	143	353
289	144	352
290	144	351
291	144	350
292	144	349
293	145	348
294	145	347
295	145	346
296	146	345
297	146	344
298	146	343
299	146	342
300	147	341
301	147	340
302	147	339
303	148	338
