iter	Passed	Remaining
0	59	59208
1	59	29804
2	60	19979
3	60	15054
4	60	12101
5	61	10129
6	61	8723
7	61	7671
8	62	6850
9	62	6191
10	62	5650
11	63	5200
12	63	4821
13	63	4496
14	64	4213
15	64	3967
16	64	3748
17	65	3555
18	65	3380
19	65	3223
20	66	3081
21	66	2951
22	66	2838
23	67	2731
24	67	2633
25	67	2541
26	68	2456
27	68	2376
28	68	2302
29	69	2234
30	69	2169
31	69	2110
32	70	2052
33	70	1998
34	70	1948
35	71	1902
36	71	1858
37	71	1815
38	72	1775
39	72	1738
40	72	1702
41	73	1668
42	73	1635
43	73	1605
44	74	1575
45	74	1547
46	75	1521
47	75	1494
48	75	1467
49	75	1442
50	76	1418
51	76	1395
52	76	1373
53	77	1352
54	77	1331
55	77	1311
56	78	1291
57	78	1273
58	78	1255
59	79	1238
60	79	1222
61	79	1206
62	80	1191
63	80	1176
64	80	1161
65	80	1146
66	81	1132
67	81	1115
68	81	1102
69	81	1088
70	82	1076
71	82	1064
72	82	1051
73	83	1040
74	83	1030
75	83	1019
76	84	1008
77	84	997
78	84	987
79	84	977
80	85	968
81	85	958
82	85	949
83	86	939
84	86	929
85	86	922
86	86	912
87	87	903
88	87	895
89	87	887
90	88	879
91	88	871
92	88	864
93	88	856
94	89	849
95	89	841
96	89	834
97	89	827
98	90	820
99	90	813
100	90	806
101	90	798
102	91	792
103	91	787
104	91	780
105	91	774
106	92	768
107	92	763
108	92	757
109	92	752
110	93	746
111	93	742
112	93	737
113	94	731
114	94	726
115	94	720
116	94	715
117	95	712
118	95	706
119	95	701
120	96	697
121	96	693
122	96	687
123	96	682
124	96	678
125	97	674
126	97	670
127	97	665
128	97	661
129	98	657
130	98	653
131	98	649
132	99	645
133	99	641
134	99	638
135	99	634
136	100	630
137	100	626
138	100	622
139	100	619
140	101	615
141	101	612
142	101	609
143	101	606
144	102	602
145	102	599
146	102	596
147	103	593
148	103	590
149	103	587
150	103	584
151	104	581
152	104	578
153	104	575
154	104	572
155	105	569
156	105	567
157	105	564
158	106	562
159	106	559
160	106	556
161	107	554
162	107	551
163	107	549
164	108	547
165	108	545
166	108	542
167	109	539
168	109	538
169	109	535
170	110	533
171	110	530
172	110	528
173	110	525
174	111	523
175	111	521
176	111	518
177	111	516
178	112	514
179	112	512
180	112	509
181	112	507
182	113	505
183	113	503
184	113	501
185	114	499
186	114	496
187	114	495
188	114	493
189	115	490
190	115	489
191	115	487
192	116	485
193	116	483
194	116	481
195	117	480
196	117	478
197	117	476
198	117	474
199	118	472
200	118	470
201	118	469
202	119	467
203	119	466
204	119	464
205	120	462
206	120	461
207	120	459
208	120	457
209	121	456
210	121	454
211	121	453
212	122	451
213	122	449
214	122	448
215	123	447
216	123	445
217	123	443
218	123	442
219	124	440
220	124	438
221	124	437
222	125	436
223	125	434
224	125	432
225	125	431
226	126	429
227	126	428
228	126	426
229	127	425
230	127	424
231	127	422
232	127	421
233	128	419
234	128	418
235	128	416
236	128	415
237	129	413
238	129	412
239	129	411
240	130	409
241	130	408
242	130	406
243	130	405
244	131	404
245	131	402
246	131	401
247	131	399
248	132	398
249	132	397
250	132	396
251	133	395
252	133	393
253	133	392
254	134	391
255	134	390
256	134	389
257	134	387
258	135	386
259	135	385
260	135	384
261	136	383
262	136	381
263	136	380
264	136	379
265	137	378
266	137	377
267	137	375
268	137	374
269	138	373
270	138	372
271	138	371
272	139	370
273	139	369
274	139	368
275	139	367
276	140	365
277	140	364
278	140	363
279	140	362
280	141	361
281	141	360
282	141	359
283	142	358
284	142	356
285	142	355
286	142	354
287	143	353
288	143	352
289	143	351
290	144	351
291	144	350
292	144	349
293	144	348
294	145	347
295	145	346
296	145	345
297	146	344
298	146	343
299	146	342
300	146	340
301	147	339
302	147	338
303	147	337
304	147	336
305	148	336
306	148	335
307	148	334
308	149	333
309	149	332
310	149	331
311	149	330
312	150	329
313	150	328
314	150	327
315	150	326
316	151	325
317	151	325
318	151	324
319	152	323
320	152	322
321	152	321
322	153	320
323	153	319
324	153	318
325	153	318
326	154	317
327	154	316
328	154	315
329	154	314
330	155	313
331	155	313
332	155	312
333	156	311
334	156	310
335	156	309
336	156	308
337	157	307
338	157	307
339	157	306
340	158	305
341	158	304
342	158	304
343	159	303
344	159	302
345	159	301
346	159	300
347	160	299
348	160	299
349	160	298
350	160	297
351	161	296
352	161	296
353	161	295
354	162	294
355	162	293
356	162	292
357	162	292
358	163	291
359	163	290
360	163	289
361	164	289
362	164	288
363	164	287
364	164	286
365	165	286
366	165	285
367	166	286
368	166	285
369	167	284
370	167	283
371	167	283
372	167	282
373	168	281
374	168	280
375	168	280
376	169	279
377	169	278
378	169	277
379	169	277
380	170	276
381	170	275
382	170	274
383	170	274
384	171	273
385	171	272
386	171	272
387	172	271
388	172	270
389	172	269
390	172	269
391	173	268
392	173	267
393	173	266
394	173	266
395	174	265
396	174	265
397	174	264
398	175	263
399	175	263
400	175	262
401	176	261
402	176	261
403	176	260
404	176	259
405	177	259
406	177	258
407	177	257
408	177	257
409	178	256
410	178	255
411	178	255
412	179	254
413	179	253
414	179	253
415	179	252
416	180	252
417	180	251
418	180	250
419	180	249
420	181	249
421	181	248
422	181	247
423	181	247
424	182	246
425	182	245
426	183	245
427	183	244
428	183	244
429	183	243
430	184	243
431	184	242
432	184	241
433	185	241
434	185	240
435	185	240
436	185	239
437	186	238
438	186	238
439	186	237
440	187	237
441	187	236
442	187	235
443	187	235
444	188	234
445	188	234
446	188	233
447	189	232
448	189	232
449	189	231
450	189	231
451	190	230
452	190	229
453	190	229
454	190	228
455	191	228
456	191	227
457	191	226
458	191	226
459	192	225
460	192	224
461	192	224
462	192	223
463	193	223
464	193	222
465	193	221
466	193	221
467	194	220
468	194	220
469	194	219
470	195	219
471	195	218
472	195	218
473	196	217
474	196	216
475	196	216
476	196	215
477	197	215
478	197	214
479	197	214
480	197	213
481	198	213
482	198	212
483	198	212
484	199	211
485	199	211
486	199	210
487	200	209
488	200	209
489	200	208
490	200	208
491	201	207
492	201	207
493	201	206
494	201	206
495	202	205
496	202	204
497	202	204
498	203	203
499	203	203
500	203	202
501	203	202
502	204	201
503	204	201
504	204	200
505	205	200
506	205	199
507	205	199
508	205	198
509	206	198
510	206	197
511	206	196
512	206	196
513	207	195
514	207	195
515	207	194
516	207	194
517	208	193
518	208	193
519	208	192
520	209	192
521	209	191
522	209	191
523	209	190
524	210	190
525	210	189
526	210	189
527	210	188
528	211	188
529	211	187
530	211	187
531	212	186
532	212	186
533	212	185
534	213	185
535	213	184
536	213	184
537	213	183
538	214	183
539	214	182
540	214	182
541	214	181
542	215	181
543	215	180
544	215	179
545	215	179
546	216	178
547	216	178
548	216	177
549	216	177
550	217	177
551	217	176
552	217	176
553	218	175
554	218	175
555	218	174
556	219	174
557	219	173
558	219	173
559	219	172
560	220	172
561	220	171
562	220	171
563	220	170
564	221	170
565	221	169
566	221	169
567	222	168
568	222	168
569	222	167
570	222	167
571	223	166
572	223	166
573	223	166
574	223	165
575	224	165
576	224	164
577	224	164
578	225	163
579	225	163
580	225	162
581	225	162
582	226	161
583	226	161
584	226	160
585	227	160
586	227	159
587	227	159
588	227	158
589	228	158
590	228	158
591	228	157
592	229	157
593	229	156
594	229	156
595	229	155
596	230	155
597	230	154
598	230	154
599	230	153
600	231	153
601	231	153
602	231	152
603	231	152
604	232	151
605	232	151
606	232	150
607	232	150
608	233	149
609	233	149
610	233	148
611	233	148
612	234	147
613	234	147
614	234	146
615	235	146
616	235	146
617	235	145
618	235	145
619	236	144
620	236	144
621	236	143
622	236	143
623	237	142
624	237	142
625	237	142
626	237	141
627	238	141
628	238	140
629	238	140
630	239	139
631	239	139
632	239	138
633	239	138
634	240	138
635	240	137
636	240	137
637	241	136
638	241	136
639	241	135
640	241	135
641	242	135
642	242	134
643	242	134
644	243	133
645	243	133
646	243	132
647	243	132
648	244	132
649	244	131
650	244	131
651	244	130
652	245	130
653	245	129
654	245	129
655	245	128
